t,eps_f,eps_g
10,0.0166667,0.000833333
20,0.0166667,0.000833333
30,0.0166667,0.000833333
40,0.0166667,0.000833333
50,0.0166667,0.000833333
60,0.0166667,0.000833333
70,0.0166667,0.000833333
80,0.0166667,0.000833333
90,0.0166667,0.000833333
100,0.0166667,0.000833333
110,0.02,0.001
120,0.02,0.001
130,0.02,0.001
140,0.02,0.001
150,0.02,0.001
160,0.02,0.001
170,0.02,0.001
180,0.02,0.001
190,0.02,0.001
200,0.02,0.001
210,0.02,0.001
220,0.02,0.001
230,0.02,0.001
240,0.02,0.001
250,0.02,0.001
260,0.02,0.001
270,0.02,0.001
280,0.02,0.001
290,0.02,0.001
300,0.02,0.001
310,0.02,0.001
320,0.02,0.001
330,0.02,0.001
340,0.02,0.001
350,0.02,0.001
360,0.02,0.001
370,0.02,0.001
380,0.02,0.001
390,0.02,0.001
400,0.02,0.001
410,0.02,0.001
420,0.02,0.001
430,0.02,0.001
440,0.02,0.001
450,0.02,0.001
460,0.02,0.001
470,0.02,0.001
480,0.02,0.001
490,0.02,0.001
500,0.02,0.001
510,0.02,0.001
520,0.02,0.001
530,0.02,0.001
540,0.02,0.001
550,0.02,0.001
560,0.02,0.001
570,0.02,0.001
580,0.02,0.001
590,0.02,0.001
600,0.02,0.001
610,0.02,0.001
620,0.02,0.001
630,0.02,0.001
640,0.02,0.001
650,0.02,0.001
660,0.02,0.001
670,0.02,0.001
680,0.02,0.001
690,0.02,0.001
700,0.02,0.001
710,0.02,0.001
720,0.02,0.001
730,0.02,0.001
740,0.02,0.001
750,0.02,0.001
760,0.02,0.001
770,0.02,0.001
780,0.02,0.001
790,0.02,0.001
800,0.02,0.001
810,0.02,0.001
820,0.02,0.001
830,0.02,0.001
840,0.02,0.001
850,0.02,0.001
860,0.02,0.001
870,0.02,0.001
880,0.02,0.001
890,0.02,0.001
900,0.02,0.001
910,0.02,0.001
920,0.02,0.001
930,0.02,0.001
940,0.02,0.001
950,0.02,0.001
960,0.02,0.001
970,0.02,0.001
980,0.02,0.001
990,0.02,0.001
1000,0.02,0.001
1010,0.02,0.001
1020,0.02,0.001
1030,0.02,0.001
1040,0.02,0.001
1050,0.02,0.001
1060,0.02,0.001
1070,0.02,0.001
1080,0.02,0.001
1090,0.02,0.001
1100,0.02,0.001
1110,0.02,0.001
1120,0.02,0.001
1130,0.02,0.001
1140,0.02,0.001
1150,0.02,0.001
1160,0.02,0.001
1170,0.02,0.001
1180,0.02,0.001
1190,0.02,0.001
1200,0.02,0.001
1210,0.02,0.001
1220,0.02,0.001
1230,0.02,0.001
1240,0.02,0.001
1250,0.02,0.001
1260,0.02,0.001
1270,0.02,0.001
