t,eps_f,eps_g
10,0.02,0.001
20,0.02,0.001
30,0.02,0.001
40,0.02,0.001
50,0.02,0.001
60,0.02,0.001
70,0.02,0.001
80,0.02,0.001
90,0.02,0.001
100,0.02,0.001
110,0.02,0.001
120,0.02,0.001
130,0.02,0.001
140,0.02,0.001
150,0.02,0.001
160,0.02,0.001
170,0.02,0.001
180,0.02,0.001
190,0.02,0.001
200,0.02,0.001
210,0.02,0.001
220,0.02,0.001
230,0.02,0.001
240,0.02,0.001
250,0.02,0.001
260,0.02,0.001
270,0.02,0.001
280,0.02,0.001
290,0.02,0.001
300,0.02,0.001
310,0.02,0.001
320,0.02,0.001
330,0.02,0.001
340,0.02,0.001
350,0.02,0.001
360,0.02,0.001
370,0.02,0.001
380,0.02,0.001
390,0.02,0.001
400,0.02,0.001
410,0.02,0.001
420,0.02,0.001
430,0.02,0.001
440,0.02,0.001
450,0.02,0.001
460,0.02,0.001
470,0.02,0.001
480,0.02,0.001
490,0.02,0.001
500,0.02,0.001
